BIOGUIDE_ID,OFFICE,PROGRAM,CATEGORY,YTD,AMOUNT
M001205,2020 HON. CAROL D. MILLER,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,38349.6,37410
M001205,2020 HON. CAROL D. MILLER,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,34878.98,14288.74
M001205,2020 HON. CAROL D. MILLER,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,11085.52,452.21
M001205,2020 HON. CAROL D. MILLER,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2205,735
M001205,2020 HON. CAROL D. MILLER,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,920088.91,373575.08
M001205,2020 HON. CAROL D. MILLER,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,920088.91,373575.08
M001205,2020 HON. CAROL D. MILLER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,21100,10800
M001205,2020 HON. CAROL D. MILLER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,21100,10800
M001205,2020 HON. CAROL D. MILLER,INTERN ALLOWANCES,OFFICE TOTALS:,21100,10800
M001201,2020 HON. PAUL MITCHELL,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,337,132.06
M001201,2020 HON. PAUL MITCHELL,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,716023.47,219635.42
M001201,2020 HON. PAUL MITCHELL,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3005.65,1136.45
M001201,2020 HON. PAUL MITCHELL,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,22021.35,-4217.66
M001201,2020 HON. PAUL MITCHELL,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,179.7,119.8
M001201,2020 HON. PAUL MITCHELL,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,8865,0
M001201,2020 HON. PAUL MITCHELL,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2546.03,163.4
M001201,2020 HON. PAUL MITCHELL,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4200.17,1080
M001201,2020 HON. PAUL MITCHELL,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,757178.37,218049.47
M001201,2020 HON. PAUL MITCHELL,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,757178.37,218049.47
M001201,2020 HON. PAUL MITCHELL,INTERN ALLOWANCES,PERSONNEL COMPENSATION,2880,0
M001201,2020 HON. PAUL MITCHELL,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,2880,0
M001201,2020 HON. PAUL MITCHELL,INTERN ALLOWANCES,OFFICE TOTALS:,2880,0
M001194,2020 HON. JOHN R. MOOLENAAR,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,32031.69,30827.66
M001194,2020 HON. JOHN R. MOOLENAAR,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,714584.2,219962.52
M001194,2020 HON. JOHN R. MOOLENAAR,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,22591.77,5221.63
M001194,2020 HON. JOHN R. MOOLENAAR,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,58550.86,19336.79
M001194,2020 HON. JOHN R. MOOLENAAR,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,89055.65,74544.95
M001194,2020 HON. JOHN R. MOOLENAAR,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,18275.28,5985
M001194,2020 HON. JOHN R. MOOLENAAR,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3509.16,466.84
M001194,2020 HON. JOHN R. MOOLENAAR,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5072.28,2337.24
M001194,2020 HON. JOHN R. MOOLENAAR,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,943670.89,358682.63
M001194,2020 HON. JOHN R. MOOLENAAR,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,943670.89,358682.63
M001194,2020 HON. JOHN R. MOOLENAAR,INTERN ALLOWANCES,PERSONNEL COMPENSATION,4800,2675
M001194,2020 HON. JOHN R. MOOLENAAR,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,4800,2675
M001194,2020 HON. JOHN R. MOOLENAAR,INTERN ALLOWANCES,OFFICE TOTALS:,4800,2675
M001195,2020 HON. ALEXANDER X. MOONEY,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,141003.7,64114.97
M001195,2020 HON. ALEXANDER X. MOONEY,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,562728.43,190169.51
M001195,2020 HON. ALEXANDER X. MOONEY,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,32629.21,10200.69
M001195,2020 HON. ALEXANDER X. MOONEY,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,89815.04,24411.82
M001195,2020 HON. ALEXANDER X. MOONEY,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,132495.8,44803.96
M001195,2020 HON. ALEXANDER X. MOONEY,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,22351.5,10659
M001195,2020 HON. ALEXANDER X. MOONEY,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,10707.58,2564.23
M001195,2020 HON. ALEXANDER X. MOONEY,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5043.43,1534.56
M001195,2020 HON. ALEXANDER X. MOONEY,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,996774.69,348458.74
M001195,2020 HON. ALEXANDER X. MOONEY,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,996774.69,348458.74
M001195,2020 HON. ALEXANDER X. MOONEY,INTERN ALLOWANCES,PERSONNEL COMPENSATION,20975.03,9500
M001195,2020 HON. ALEXANDER X. MOONEY,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,20975.03,9500
M001195,2020 HON. ALEXANDER X. MOONEY,INTERN ALLOWANCES,OFFICE TOTALS:,20975.03,9500
M001160,2020 HON. GWEN MOORE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,18608.93,151.9
M001160,2020 HON. GWEN MOORE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,777409.15,277466.75
M001160,2020 HON. GWEN MOORE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,7570.5,0
M001160,2020 HON. GWEN MOORE,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,36599.36,16128.05
M001160,2020 HON. GWEN MOORE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,24183.26,23918.7
M001160,2020 HON. GWEN MOORE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,4225,0
M001160,2020 HON. GWEN MOORE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,13974.06,1518.59
M001160,2020 HON. GWEN MOORE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,13923.82,1645.02
M001160,2020 HON. GWEN MOORE,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,896494.08,320829.01
M001160,2020 HON. GWEN MOORE,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,896494.08,320829.01
M001160,2020 HON. GWEN MOORE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,17600.4,7267.07
M001160,2020 HON. GWEN MOORE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,17600.4,7267.07
M001160,2020 HON. GWEN MOORE,INTERN ALLOWANCES,OFFICE TOTALS:,17600.4,7267.07
M001206,2020 HON. JOSEPH D. MORELLE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,46470.21,31182.17
M001206,2020 HON. JOSEPH D. MORELLE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,709975.01,257174.98
M001206,2020 HON. JOSEPH D. MORELLE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,8928.53,2063.38
M001206,2020 HON. JOSEPH D. MORELLE,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,74291.64,25966.71
M001206,2020 HON. JOSEPH D. MORELLE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,89114.13,35254.85
M001206,2020 HON. JOSEPH D. MORELLE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,38989.08,12768.96
M001206,2020 HON. JOSEPH D. MORELLE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6045.95,2459.73
M001206,2020 HON. JOSEPH D. MORELLE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,9498.15,722.49
M001206,2020 HON. JOSEPH D. MORELLE,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,983312.7,367593.27
M001206,2020 HON. JOSEPH D. MORELLE,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,983312.7,367593.27
M001206,2020 HON. JOSEPH D. MORELLE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,9016.67,5400
M001206,2020 HON. JOSEPH D. MORELLE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,9016.67,5400
M001206,2020 HON. JOSEPH D. MORELLE,INTERN ALLOWANCES,OFFICE TOTALS:,9016.67,5400
M001196,2020 HON. SETH MOULTON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,312.19,27.1
M001196,2020 HON. SETH MOULTON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,841173.19,296410.57
M001196,2020 HON. SETH MOULTON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,8826.1,2171.96
M001196,2020 HON. SETH MOULTON,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,62777.71,21141.28
M001196,2020 HON. SETH MOULTON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,10311.64,2468.49
M001196,2020 HON. SETH MOULTON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,28691.51,13541
M001196,2020 HON. SETH MOULTON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,11794.92,2871.36
M001196,2020 HON. SETH MOULTON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,14573.42,4067.93
M001196,2020 HON. SETH MOULTON,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,978460.68,342699.69
M001196,2020 HON. SETH MOULTON,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,978460.68,342699.69
M001196,2020 HON. SETH MOULTON,INTERN ALLOWANCES,PERSONNEL COMPENSATION,16861.02,3901.02
M001196,2020 HON. SETH MOULTON,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,16861.02,3901.02
M001196,2020 HON. SETH MOULTON,INTERN ALLOWANCES,OFFICE TOTALS:,16861.02,3901.02
M001207,2020 HON. DEBBIE MUCARSEL-POWELL,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,58501.58,58330.86
M001207,2020 HON. DEBBIE MUCARSEL-POWELL,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,689787.47,224288.89
M001207,2020 HON. DEBBIE MUCARSEL-POWELL,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,13557.27,1176.86
M001207,2020 HON. DEBBIE MUCARSEL-POWELL,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,30220.67,17060.61
M001207,2020 HON. DEBBIE MUCARSEL-POWELL,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,147939.67,145379.2
M001207,2020 HON. DEBBIE MUCARSEL-POWELL,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,20890,6555
M001207,2020 HON. DEBBIE MUCARSEL-POWELL,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,5807.43,545.24
M001207,2020 HON. DEBBIE MUCARSEL-POWELL,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,966704.09,453336.66
M001207,2020 HON. DEBBIE MUCARSEL-POWELL,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,966704.09,453336.66
M001207,2020 HON. DEBBIE MUCARSEL-POWELL,INTERN ALLOWANCES,PERSONNEL COMPENSATION,18663.34,8049.99
M001207,2020 HON. DEBBIE MUCARSEL-POWELL,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,18663.34,8049.99
M001207,2020 HON. DEBBIE MUCARSEL-POWELL,INTERN ALLOWANCES,OFFICE TOTALS:,18663.34,8049.99
M001190,2020 HON. MARKWAYNE MULLIN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,6861.7,170.52
M001190,2020 HON. MARKWAYNE MULLIN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,670809.32,205419.37
M001190,2020 HON. MARKWAYNE MULLIN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,48388.26,17140.25
M001190,2020 HON. MARKWAYNE MULLIN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,87642.12,25080.1
M001190,2020 HON. MARKWAYNE MULLIN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,10648.7,743.09
M001190,2020 HON. MARKWAYNE MULLIN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,8610,6460
M001190,2020 HON. MARKWAYNE MULLIN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6445.33,3215.55
M001190,2020 HON. MARKWAYNE MULLIN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,17661.71,10053.06
M001190,2020 HON. MARKWAYNE MULLIN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,857067.14,268281.94
M001190,2020 HON. MARKWAYNE MULLIN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,857067.14,268281.94
M001190,2020 HON. MARKWAYNE MULLIN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,7600.01,6220.01
M001190,2020 HON. MARKWAYNE MULLIN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,7600.01,6220.01
M001190,2020 HON. MARKWAYNE MULLIN,INTERN ALLOWANCES,OFFICE TOTALS:,7600.01,6220.01
M001210,2020 HON. GREGORY FRANCIS MURPHY  MD,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,436.6,176.66
M001210,2020 HON. GREGORY FRANCIS MURPHY  MD,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,761153.86,255055.54
M001210,2020 HON. GREGORY FRANCIS MURPHY  MD,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,23020.73,13972.66
M001210,2020 HON. GREGORY FRANCIS MURPHY  MD,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,19899.24,8923.83
M001210,2020 HON. GREGORY FRANCIS MURPHY  MD,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,13127.52,5004.1
M001210,2020 HON. GREGORY FRANCIS MURPHY  MD,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,351.25,0
M001210,2020 HON. GREGORY FRANCIS MURPHY  MD,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,18819.52,12268.18
M001210,2020 HON. GREGORY FRANCIS MURPHY  MD,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5482.08,1827.36
M001210,2020 HON. GREGORY FRANCIS MURPHY  MD,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,842290.8,297228.33
M001210,2020 HON. GREGORY FRANCIS MURPHY  MD,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,842290.8,297228.33
M001210,2020 HON. GREGORY FRANCIS MURPHY  MD,INTERN ALLOWANCES,PERSONNEL COMPENSATION,18733.33,6433.33
M001210,2020 HON. GREGORY FRANCIS MURPHY  MD,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,18733.33,6433.33
M001210,2020 HON. GREGORY FRANCIS MURPHY  MD,INTERN ALLOWANCES,OFFICE TOTALS:,18733.33,6433.33
M001202,2020 HON. STEPHANIE N. MURPHY,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,33038.85,183.62
M001202,2020 HON. STEPHANIE N. MURPHY,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,723447.11,241749.99
M001202,2020 HON. STEPHANIE N. MURPHY,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,10747.57,1692.68
M001202,2020 HON. STEPHANIE N. MURPHY,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,117705.38,39709.46
M001202,2020 HON. STEPHANIE N. MURPHY,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,59021.69,1934.92
M001202,2020 HON. STEPHANIE N. MURPHY,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,33444.48,11205
M001202,2020 HON. STEPHANIE N. MURPHY,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,9203.02,3815.84
M001202,2020 HON. STEPHANIE N. MURPHY,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,13158.36,2311.5
M001202,2020 HON. STEPHANIE N. MURPHY,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,999766.46,302603.01
M001202,2020 HON. STEPHANIE N. MURPHY,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,999766.46,302603.01
M001202,2020 HON. STEPHANIE N. MURPHY,INTERN ALLOWANCES,PERSONNEL COMPENSATION,13651.17,8955.27
M001202,2020 HON. STEPHANIE N. MURPHY,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,13651.17,8955.27
M001202,2020 HON. STEPHANIE N. MURPHY,INTERN ALLOWANCES,OFFICE TOTALS:,13651.17,8955.27
N000002,2020 HON. JERROLD NADLER,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,16578.49,8.23
N000002,2020 HON. JERROLD NADLER,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,788131.75,271602.09
N000002,2020 HON. JERROLD NADLER,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,13718.79,2359.85
N000002,2020 HON. JERROLD NADLER,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,114580.55,37814.78
N000002,2020 HON. JERROLD NADLER,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,19004.56,0
N000002,2020 HON. JERROLD NADLER,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,31591.49,10645.99
N000002,2020 HON. JERROLD NADLER,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,12494.68,1116.16
N000002,2020 HON. JERROLD NADLER,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,7805.2,4160.4
N000002,2020 HON. JERROLD NADLER,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1003905.51,327707.5
N000002,2020 HON. JERROLD NADLER,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1003905.51,327707.5
N000002,2020 HON. JERROLD NADLER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,5277.77,0
N000002,2020 HON. JERROLD NADLER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,5277.77,0
N000002,2020 HON. JERROLD NADLER,INTERN ALLOWANCES,OFFICE TOTALS:,5277.77,0
N000179,2020 HON. GRACE F. NAPOLITANO,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,112.07,71.67
N000179,2020 HON. GRACE F. NAPOLITANO,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,827610.15,277736.72
N000179,2020 HON. GRACE F. NAPOLITANO,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,10675.18,819.25
N000179,2020 HON. GRACE F. NAPOLITANO,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,68000.56,23873.94
N000179,2020 HON. GRACE F. NAPOLITANO,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,149.37,0
N000179,2020 HON. GRACE F. NAPOLITANO,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,17055,5685
N000179,2020 HON. GRACE F. NAPOLITANO,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,9575.25,1020.54
N000179,2020 HON. GRACE F. NAPOLITANO,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1845.84,596.94
N000179,2020 HON. GRACE F. NAPOLITANO,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,935023.42,309804.06
N000179,2020 HON. GRACE F. NAPOLITANO,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,935023.42,309804.06
N000179,2020 HON. GRACE F. NAPOLITANO,INTERN ALLOWANCES,PERSONNEL COMPENSATION,6400,4106.67
N000179,2020 HON. GRACE F. NAPOLITANO,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,6400,4106.67
N000179,2020 HON. GRACE F. NAPOLITANO,INTERN ALLOWANCES,OFFICE TOTALS:,6400,4106.67
N000015,2020 HON. RICHARD R. NEAL,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,503.67,206.98
N000015,2020 HON. RICHARD R. NEAL,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,746315.39,250375.03
N000015,2020 HON. RICHARD R. NEAL,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,9088.18,3784.77
N000015,2020 HON. RICHARD R. NEAL,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,99791.18,28695.34
N000015,2020 HON. RICHARD R. NEAL,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1667.5,1497.5
N000015,2020 HON. RICHARD R. NEAL,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,35897.85,11733.38
N000015,2020 HON. RICHARD R. NEAL,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4245.2,1007.85
N000015,2020 HON. RICHARD R. NEAL,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1500.75,500.25
N000015,2020 HON. RICHARD R. NEAL,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,899009.72,297801.1
N000015,2020 HON. RICHARD R. NEAL,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,899009.72,297801.1
N000015,2020 HON. RICHARD R. NEAL,INTERN ALLOWANCES,PERSONNEL COMPENSATION,10860.54,0
N000015,2020 HON. RICHARD R. NEAL,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,10860.54,0
N000015,2020 HON. RICHARD R. NEAL,INTERN ALLOWANCES,OFFICE TOTALS:,10860.54,0
N000191,2020 HON. JOE NEGUSE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,41937.89,17221.6
N000191,2020 HON. JOE NEGUSE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,745881.88,247347.19
N000191,2020 HON. JOE NEGUSE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,20970.78,6699.11
N000191,2020 HON. JOE NEGUSE,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,123534.26,31613.41
N000191,2020 HON. JOE NEGUSE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,75737.11,33537.16
N000191,2020 HON. JOE NEGUSE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,33946.44,10922.5
N000191,2020 HON. JOE NEGUSE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,14827.35,-2835.31
N000191,2020 HON. JOE NEGUSE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,16391.6,5204.28
N000191,2020 HON. JOE NEGUSE,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1073227.31,349709.94
N000191,2020 HON. JOE NEGUSE,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1073227.31,349709.94
N000191,2020 HON. JOE NEGUSE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,14501.66,7875
N000191,2020 HON. JOE NEGUSE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,14501.66,7875
N000191,2020 HON. JOE NEGUSE,INTERN ALLOWANCES,OFFICE TOTALS:,14501.66,7875
N000189,2020 HON. DAN NEWHOUSE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,51148.51,787.42
N000189,2020 HON. DAN NEWHOUSE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,659885.6,234450.02
N000189,2020 HON. DAN NEWHOUSE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,40358.2,9244.54
N000189,2020 HON. DAN NEWHOUSE,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,33527.43,6488.54
N000189,2020 HON. DAN NEWHOUSE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,71949.98,5449.62
N000189,2020 HON. DAN NEWHOUSE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5186.74,2104.84
N000189,2020 HON. DAN NEWHOUSE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,10498.49,2395.89
N000189,2020 HON. DAN NEWHOUSE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5047.66,2976.51
N000189,2020 HON. DAN NEWHOUSE,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,877602.61,263897.38
N000189,2020 HON. DAN NEWHOUSE,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,877602.61,263897.38
N000189,2020 HON. DAN NEWHOUSE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,9730,3287.09
N000189,2020 HON. DAN NEWHOUSE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,9730,3287.09
N000189,2020 HON. DAN NEWHOUSE,INTERN ALLOWANCES,OFFICE TOTALS:,9730,3287.09
N000188,2020 HON. DONALD NORCROSS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,47720.07,23431.22
N000188,2020 HON. DONALD NORCROSS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,641605.58,221794.46
N000188,2020 HON. DONALD NORCROSS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,4927.79,1356.37
N000188,2020 HON. DONALD NORCROSS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,69639.35,26160.9
N000188,2020 HON. DONALD NORCROSS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,79035.99,34296.7
